customer_id,national_id,full_name,gender,date_of_birth,age,nationality,city,marital_status,dependents,education_level,employment_status,employment_sector,job_title,monthly_salary,years_of_employment,salary_frequency,customer_since,preferred_language,customer_status
CUS000043,1463864010,Hamad Al-Shammari,Male,2003-03-11,22,Saudi,Khobar,Single,0,High School,Self-Employed,Self-Employed,Transport Owner,14377.0,1,Monthly,2007-06-20,Arabic,Active
CUS000044,1967611451,Najla Al-Hamdan,Female,1960-02-17,65,Saudi,Dammam,Married,5,High School,Retired,Retired,Retired Government,9621.0,14,Monthly,2013-05-16,Arabic,Inactive
CUS000045,1914290253,Fahad Al-Zahrani,Male,1972-05-03,53,Saudi,Abha,Widowed,3,Bachelor,Student,Student,University Student,2487.0,0,Monthly,2018-01-26,Arabic,Active
CUS000046,1747356865,Haifa Al-Bogami,Female,1979-03-09,46,Saudi,Khobar,Married,3,Bachelor,Private,Private,Operations Manager,9764.0,24,Monthly,2006-05-27,Arabic,Active
CUS000047,1587259523,Loai Al-Asmari,Male,1977-04-26,48,Saudi,Khobar,Single,0,PhD,Private,Private,Customer Service,15280.0,2,Monthly,2010-04-07,English,Active
CUS000048,1207337954,Talal Al-Sayyid,Male,1986-02-21,39,Expat,Riyadh,Married,2,Bachelor,Government,Government,Army Officer,8182.0,7,Bi-Monthly,2014-02-06,Arabic,Active
CUS000049,1629120555,Raed Al-Dossari,Male,1961-10-13,63,Saudi,Riyadh,Single,0,No Formal Education,Government,Government,Engineer,10247.0,17,Monthly,2011-08-20,Arabic,Active
CUS000050,1629294829,Ali Al-Johani,Male,2000-01-20,25,Saudi,Khobar,Married,1,Diploma,Government,Government,Army Officer,19720.0,0,Monthly,2023-09-06,Arabic,Active
CUS000051,1187451877,Sanaa Al-Balawi,Female,1972-01-19,53,Saudi,Riyadh,Married,3,Diploma,Private,Private,Operations Manager,23871.0,25,Monthly,2016-03-26,Arabic,Active
CUS000052,1621765989,Najla Al-Maghamsi,Female,1985-03-17,40,Saudi,Sakaka,Divorced,1,Master,Student,Student,Vocational Student,302.0,0,Weekly,2021-03-01,Arabic,Inactive
CUS000053,1850823495,Dina Al-Harbi,Female,1975-02-25,50,Saudi,Buraidah,Married,3,Master,Government,Government,Doctor,18425.0,10,Monthly,2015-12-15,Arabic,Active
CUS000054,1128803876,Lina Al-Malki,Female,1959-06-26,65,Saudi,Mecca,Divorced,1,Bachelor,Government,Government,Customs Officer,20994.0,18,Monthly,2010-07-26,Arabic,Active
CUS000055,1306422125,Loai Al-Yami,Male,1996-10-09,28,Saudi,Jeddah,Single,0,Bachelor,Government,Government,Ministry Clerk,27088.0,5,Monthly,2015-07-28,Arabic,Active
CUS000056,1135066620,Layla Al-Subaie,Female,1966-10-23,58,Saudi,Mecca,Married,2,High School,Self-Employed,Self-Employed,Freelancer,34223.0,2,Monthly,2007-10-28,Arabic,Inactive
CUS000057,1470870088,Faisal Al-Thubaiti,Male,1988-03-31,37,Saudi,Khobar,Divorced,0,Diploma,Government,Government,Police Officer,24372.0,8,Monthly,2020-08-18,English,Active
CUS000058,1541099056,Turki Al-Otaibi,Male,1960-09-09,64,Saudi,Khobar,Married,4,High School,Private,Private,Operations Manager,6030.0,17,Monthly,2012-09-18,Arabic,Active
CUS000059,1637211316,Yazeed Al-Shammari,Male,2004-04-03,21,Saudi,Riyadh,Single,0,High School,Government,Government,Teacher,22740.0,1,Monthly,2018-10-07,Arabic,Active
CUS000060,1585225270,Hani Al-Anzi,Male,2002-01-15,23,Saudi,Tabuk,Single,0,Master,Private,Private,IT Specialist,24476.0,2,Monthly,2020-02-06,Arabic,Active
CUS000061,1161186030,Abdullah Al-Maghamsi,Male,1978-06-07,46,Saudi,Medina,Married,1,High School,Government,Government,Police Officer,23699.0,8,Monthly,2022-12-25,Arabic,Active
CUS000062,1715393034,Ahmed Al-Asmari,Male,1973-10-12,51,Saudi,Riyadh,Married,3,Bachelor,Private,Private,Customer Service,8650.0,23,Monthly,2019-11-15,Arabic,Inactive
CUS000063,1425842831,Dina Al-Madani,Female,1996-11-11,28,Saudi,Jeddah,Married,2,No Formal Education,Government,Government,Customs Officer,13820.0,2,Monthly,2022-06-08,Arabic,Active
CUS000064,1179149660,Nasser Al-Harbi,Male,1961-09-26,63,Saudi,Mecca,Married,1,Bachelor,Self-Employed,Self-Employed,Investor,6504.0,5,Monthly,2005-06-25,Arabic,Active
CUS000065,1239124162,Ali Al-Asmari,Male,1996-07-30,28,Saudi,Riyadh,Married,1,High School,Private,Private,Accountant,19671.0,5,Monthly,2021-12-06,Arabic,Active
CUS000066,1372353752,Mishaal Al-Madani,Male,1969-08-23,55,Saudi,Riyadh,Single,0,Bachelor,Self-Employed,Self-Employed,Investor,46901.0,18,Monthly,2007-05-16,Arabic,Active
CUS000067,1850166555,Salman Al-Zahrani,Male,1966-03-10,59,Saudi,Riyadh,Married,4,Master,Private,Private,Financial Analyst,5509.0,10,Monthly,2008-04-10,Arabic,Active
CUS000068,1510155253,Haifa Al-Madani,Female,1977-05-21,48,Saudi,Jizan,Married,4,Diploma,Private,Private,Financial Analyst,4692.0,10,Monthly,2012-02-03,English,Active
CUS000069,1105167612,Abdulaziz Al-Shammari,Male,2001-02-07,24,Saudi,Riyadh,Single,0,Master,Government,Government,Government Employee,24166.0,0,Monthly,2018-07-05,Arabic,Active
CUS000070,1454291430,Nora Al-Yami,Female,1989-02-24,36,Saudi,Jeddah,Married,2,Diploma,Private,Private,Logistics Coordinator,6074.0,6,Monthly,2017-12-01,Arabic,Active
CUS000071,1200097076,Lina Al-Madani,Female,1992-03-16,33,Saudi,Riyadh,Married,2,Bachelor,Private,Private,Customer Service,10444.0,13,Bi-Monthly,2014-07-23,Arabic,Active
CUS000072,1521079032,Mansour Al-Ruwaili,Male,1984-06-23,40,Saudi,Khobar,Married,2,High School,Private,Private,HR Specialist,11069.0,6,Monthly,2016-05-09,Arabic,Active
CUS000073,1372053993,Bader Al-Qahtani,Male,1999-07-18,25,Saudi,Dammam,Married,5,Bachelor,Self-Employed,Self-Employed,Consultant,52428.0,5,Monthly,2011-04-07,Arabic,Active
CUS000074,1680755413,Maha Al-Hamdan,Female,1968-02-08,57,Saudi,Tabuk,Married,4,Bachelor,Retired,Retired,Retired Military,9044.0,11,Monthly,2016-09-09,Arabic,Active
CUS000075,1968819669,Nora Al-Sayyid,Female,1984-10-06,40,Saudi,Medina,Single,0,Bachelor,Self-Employed,Self-Employed,Business Owner,57055.0,10,Monthly,2020-06-20,Arabic,Active
CUS000076,1348956753,Dalal Al-Johani,Female,1981-01-08,44,Saudi,Medina,Single,0,Bachelor,Government,Government,Customs Officer,31148.0,19,Monthly,2009-07-28,Arabic,Active
CUS000077,1916866455,Ibtisam Al-Zahrani,Female,1968-07-04,56,Saudi,Jeddah,Married,3,Master,Private,Private,IT Specialist,22989.0,2,Monthly,2011-01-14,Arabic,Active
CUS000078,1781388414,Ghalib Al-Sulami,Male,1970-12-17,54,Saudi,Medina,Married,5,High School,Government,Government,Administrative Staff,7602.0,11,Monthly,2022-01-18,English,Active
CUS000079,1777742353,Bandar Al-Subaie,Male,1960-02-26,65,Expat,Riyadh,Married,5,Bachelor,Private,Private,Sales Manager,8634.0,9,Monthly,2010-02-22,Arabic,Active
CUS000080,1696228027,Abdullah Al-Sulami,Male,1971-03-04,54,Saudi,Dammam,Married,3,High School,Private,Private,HR Specialist,10832.0,3,Monthly,2020-09-02,Arabic,Active
CUS000081,1734148327,Arwa Al-Ruwaili,Female,1985-11-09,39,Saudi,Riyadh,Married,5,Bachelor,Government,Government,Ministry Clerk,32257.0,18,Monthly,2008-01-14,Arabic,Active
CUS000082,1444413613,Haifa Al-Ruwaili,Female,1988-02-27,37,Expat,Taif,Married,5,Bachelor,Retired,Retired,Retired Military,11869.0,16,Monthly,2017-08-29,Arabic,Suspended
CUS000083,1324233695,Ali Al-Dossari,Male,1999-11-01,25,Saudi,Mecca,Married,2,High School,Private,Private,Marketing Manager,13818.0,1,Monthly,2020-05-14,Arabic,Active
CUS000084,1356697094,Mazen Al-Madani,Male,1979-07-10,45,Saudi,Mecca,Widowed,3,High School,Government,Government,Police Officer,14592.0,21,Monthly,2020-06-04,Arabic,Inactive
CUS000085,1581270450,Majed Al-Sayyid,Male,1987-01-08,38,Saudi,Medina,Married,4,Master,Government,Government,Customs Officer,12827.0,11,Monthly,2014-11-27,Arabic,Active
CUS000086,1513589093,Hani Al-Ruwaili,Male,1997-03-14,28,Saudi,Khobar,Married,3,Diploma,Private,Private,IT Specialist,18162.0,1,Monthly,2017-02-18,Arabic,Active
CUS000087,1699808902,Lujain Al-Abbasi,Female,1977-06-04,47,Saudi,Jeddah,Married,2,Diploma,Student,Student,College Student,2351.0,0,Monthly,2019-10-24,Arabic,Active
CUS000088,1377956992,Dina Al-Mutairi,Female,1989-11-28,35,Saudi,Jeddah,Married,5,Bachelor,Private,Private,Software Engineer,27465.0,3,Monthly,2014-07-25,Arabic,Active
CUS000089,1223805985,Noura Al-Enezi,Female,1960-04-29,65,Saudi,Jeddah,Single,0,Diploma,Student,Student,College Student,719.0,0,Monthly,2019-02-07,Arabic,Active
CUS000090,1911806980,Yazeed Al-Malki,Male,1992-05-15,33,Saudi,Riyadh,Single,0,High School,Government,Government,Government Employee,31834.0,0,Monthly,2015-12-31,Arabic,Active
CUS000091,1698452695,Mohammed Al-Asmari,Male,1989-04-23,36,Saudi,Riyadh,Married,4,Bachelor,Private,Private,Marketing Manager,13132.0,13,Bi-Monthly,2006-09-02,Arabic,Active
CUS000092,1586990799,Shatha Al-Asmari,Female,1982-10-17,42,Saudi,Riyadh,Single,0,High School,Self-Employed,Self-Employed,Restaurant Owner,43862.0,15,Monthly,2012-07-09,Arabic,Active
CUS000093,1920300122,Sara Al-Bogami,Female,1984-08-17,40,Saudi,Taif,Married,1,PhD,Private,Private,HR Specialist,13221.0,9,Monthly,2012-01-02,English,Inactive
CUS000094,1994135247,Bader Al-Zahrani,Male,1991-12-31,33,Saudi,Khobar,Divorced,0,No Formal Education,Government,Government,Doctor,10200.0,5,Monthly,2019-09-28,English,Active
CUS000095,1533482274,Hala Al-Makki,Female,1985-05-09,40,Saudi,Riyadh,Single,0,Bachelor,Private,Private,Marketing Manager,22094.0,3,Monthly,2009-02-17,Arabic,Active
CUS000096,1591242358,Ahmed Al-Asmari,Male,2003-01-14,22,Saudi,Riyadh,Single,0,Diploma,Private,Private,Marketing Manager,4123.0,2,Monthly,2023-02-27,Arabic,Active
CUS000097,1599062557,Fahad Al-Asmari,Male,1969-06-04,55,Saudi,Mecca,Single,0,Bachelor,Self-Employed,Self-Employed,Trader,8917.0,7,Monthly,2023-06-15,Arabic,Active
CUS000098,1816434001,Bandar Al-Ghamdi,Male,1985-11-21,39,Saudi,Jeddah,Married,4,High School,Self-Employed,Self-Employed,Consultant,48659.0,13,Monthly,2021-06-03,Arabic,Active
CUS000099,1567703891,Faisal Al-Hamdan,Male,1959-06-14,65,Saudi,Khobar,Married,4,Bachelor,Self-Employed,Self-Employed,Investor,27860.0,7,Monthly,2023-06-08,Arabic,Active
CUS000100,1165112794,Muhannad Al-Khaldi,Male,1967-07-24,57,Saudi,Jeddah,Married,4,High School,Private,Private,Operations Manager,26044.0,12,Monthly,2017-09-19,Arabic,Active
CUS000101,1110082373,Bandar Al-Bishi,Male,1999-05-29,26,Saudi,Taif,Divorced,3,Bachelor,Government,Government,Doctor,25914.0,6,Monthly,2020-06-22,Arabic,Active
CUS000102,1516368871,Ghada Al-Enezi,Female,1990-09-13,34,Saudi,Riyadh,Married,2,Diploma,Private,Private,Customer Service,24929.0,5,Monthly,2022-02-08,English,Active
CUS000103,1400449408,Abdullah Al-Shammari,Male,2000-09-26,24,Saudi,Jeddah,Single,0,Bachelor,Self-Employed,Self-Employed,Investor,26098.0,4,Monthly,2012-08-15,English,Active
CUS000104,1340991350,Mohammed Al-Enezi,Male,1982-11-19,42,Saudi,Najran,Married,5,High School,Student,Student,Vocational Student,2501.0,0,Monthly,2020-02-06,English,Inactive
CUS000105,1433036064,Nora Al-Johani,Female,1966-02-25,59,Saudi,Riyadh,Single,0,Bachelor,Government,Government,Engineer,27092.0,0,Bi-Monthly,2018-12-05,Arabic,Active
CUS000106,1448533803,Bilal Al-Subaie,Male,1968-10-11,56,Saudi,Jeddah,Divorced,0,High School,Private,Private,Financial Analyst,7860.0,10,Monthly,2018-05-06,English,Active
CUS000107,1804433763,Yousef Al-Qahtani,Male,1971-04-22,54,Saudi,Riyadh,Single,0,PhD,Government,Government,Customs Officer,10866.0,23,Monthly,2022-01-08,Arabic,Active
CUS000108,1867087887,Lujain Al-Harbi,Female,1977-12-25,47,Saudi,Mecca,Widowed,0,Bachelor,Government,Government,Army Officer,28130.0,0,Monthly,2012-04-08,Arabic,Active
CUS000109,1730417772,Rayan Al-Khaldi,Male,1997-12-19,27,Saudi,Riyadh,Single,0,High School,Private,Private,HR Specialist,26749.0,4,Monthly,2023-01-06,Arabic,Active
CUS000110,1957960619,Omar Al-Shammari,Male,2001-06-20,23,Saudi,Taif,Single,0,Diploma,Private,Private,Accountant,9719.0,0,Monthly,2015-11-17,English,Active
CUS000111,1868774981,Mansour Al-Qurashi,Male,1971-07-18,53,Saudi,Najran,Widowed,0,High School,Government,Government,Army Officer,25755.0,15,Monthly,2006-11-01,Arabic,Active
CUS000112,1588602475,Rayan Al-Qurashi,Male,2003-02-26,22,Saudi,Taif,Single,0,Bachelor,Self-Employed,Self-Employed,Business Owner,58512.0,0,Monthly,2022-09-01,Arabic,Inactive
CUS000113,1826195560,Haifa Al-Maghamsi,Female,1962-12-02,62,Saudi,Jeddah,Married,1,High School,Self-Employed,Self-Employed,Freelancer,22695.0,15,Monthly,2018-01-16,Arabic,Active
CUS000114,1781850091,Aisha Al-Yami,Female,1989-03-28,36,Saudi,Sakaka,Married,2,Bachelor,Student,Student,College Student,1722.0,0,Monthly,2011-10-11,Arabic,Active
CUS000115,1817577834,Abeer Al-Bishi,Female,1979-07-05,45,Saudi,Khobar,Single,0,Diploma,Government,Government,Police Officer,15612.0,4,Monthly,2014-11-08,Arabic,Active
CUS000116,1350372786,Aisha Al-Qahtani,Female,1989-07-20,35,Saudi,Jeddah,Married,1,Bachelor,Private,Private,Software Engineer,5291.0,4,Monthly,2020-01-23,English,Active
CUS000117,1185930369,Reem Al-Anzi,Female,1981-02-13,44,Expat,Riyadh,Single,0,Bachelor,Private,Private,Accountant,12102.0,7,Monthly,2019-09-10,Arabic,Active
CUS000118,1786177667,Ahmed Al-Bishi,Male,1989-10-12,35,Saudi,Dammam,Married,3,Master,Government,Government,Ministry Clerk,9233.0,8,Monthly,2016-02-21,Arabic,Active
CUS000119,1918790944,Maha Al-Bakri,Female,1973-10-23,51,Expat,Dammam,Married,2,No Formal Education,Private,Private,Accountant,7505.0,4,Monthly,2006-02-27,Arabic,Active
CUS000120,1607256171,Osama Al-Khaldi,Male,1991-04-07,34,Saudi,Riyadh,Married,5,No Formal Education,Self-Employed,Self-Employed,Real Estate Developer,38546.0,6,Monthly,2005-12-31,Arabic,Active
CUS000121,1916370466,Nora Al-Yami,Female,1990-08-28,34,Saudi,Mecca,Single,0,Diploma,Government,Government,Customs Officer,12101.0,13,Monthly,2015-06-29,Arabic,Active
CUS000122,1353761947,Nora Al-Qurashi,Female,1998-11-18,26,Saudi,Sakaka,Single,0,Bachelor,Student,Student,College Student,2266.0,0,Monthly,2006-12-25,Arabic,Active
CUS000123,1147896623,Bandar Al-Zahrani,Male,1990-08-23,34,Saudi,Jeddah,Married,2,Bachelor,Self-Employed,Self-Employed,Transport Owner,33287.0,11,Monthly,2018-06-18,Arabic,Active
CUS000124,1344433689,Ziad Al-Sayyid,Male,1987-11-21,37,Saudi,Jeddah,Married,2,Bachelor,Self-Employed,Self-Employed,Transport Owner,42292.0,15,Monthly,2023-03-22,Arabic,Active
CUS000125,1342449056,Ahmed Al-Bogami,Male,1987-06-02,38,Saudi,Hail,Married,5,Master,Self-Employed,Self-Employed,Freelancer,9188.0,16,Monthly,2006-11-15,Arabic,Active
CUS000126,1290102849,Ziad Al-Dossari,Male,1985-02-04,40,Saudi,Riyadh,Married,2,High School,Private,Private,Software Engineer,12623.0,14,Monthly,2021-08-21,Arabic,Active
CUS000127,1383679007,Sara Al-Bakri,Female,1988-05-25,37,Saudi,Najran,Married,3,Bachelor,Self-Employed,Self-Employed,Consultant,31484.0,1,Monthly,2019-06-14,Arabic,Active
CUS000128,1722925004,Ghada Al-Anzi,Female,1988-06-28,36,Saudi,Khobar,Married,2,Bachelor,Private,Private,Operations Manager,15705.0,6,Monthly,2020-10-22,Arabic,Active
CUS000129,1949592974,Raed Al-Shehri,Male,1964-07-17,60,Saudi,Jeddah,Married,2,High School,Retired,Retired,Retired Engineer,13668.0,31,Monthly,2021-09-13,Arabic,Active
CUS000130,1551185102,Yazeed Al-Subaie,Male,1965-08-03,59,Expat,Riyadh,Married,2,Master,Government,Government,Engineer,18432.0,5,Bi-Monthly,2006-01-21,English,Active
CUS000131,1903606476,Talal Al-Thubaiti,Male,1973-02-10,52,Saudi,Riyadh,Married,4,Diploma,Government,Government,Government Employee,10142.0,6,Monthly,2010-03-18,English,Active
CUS000132,1989828324,Yousef Al-Shehri,Male,1961-05-11,64,Saudi,Jeddah,Married,4,Bachelor,Private,Private,IT Specialist,6690.0,20,Monthly,2013-03-22,English,Active
CUS000133,1875845396,Tariq Al-Zahrani,Male,1995-07-18,29,Saudi,Dammam,Single,0,PhD,Government,Government,Ministry Clerk,28414.0,8,Monthly,2009-03-26,Arabic,Active
CUS000134,1878778944,Turki Al-Zahrani,Male,1977-06-22,47,Saudi,Mecca,Single,0,Bachelor,Private,Private,Software Engineer,8754.0,3,Monthly,2009-11-29,Arabic,Active
CUS000135,1584460245,Hala Al-Thubaiti,Female,1972-05-01,53,Saudi,Khobar,Married,3,Master,Private,Private,HR Specialist,4900.0,4,Monthly,2014-01-04,Arabic,Active
CUS000136,1457911424,Waleed Al-Balawi,Male,1994-12-07,30,Saudi,Dammam,Married,1,High School,Retired,Retired,Retired Military,7089.0,10,Monthly,2023-04-11,Arabic,Active
CUS000137,1910599978,Fahad Al-Dawsari,Male,1988-05-07,37,Saudi,Mecca,Widowed,2,Bachelor,Private,Private,HR Specialist,11552.0,14,Monthly,2009-12-30,English,Active
CUS000138,1636734079,Layla Al-Zahrani,Female,1968-08-29,56,Saudi,Al Ahsa,Single,0,Bachelor,Government,Government,Nurse,25444.0,2,Monthly,2012-11-01,Arabic,Active
CUS000139,1383497061,Nawaf Al-Thubaiti,Male,1987-08-27,37,Saudi,Dammam,Married,3,Bachelor,Government,Government,Army Officer,33660.0,16,Monthly,2018-12-31,Arabic,Active
CUS000140,1465379163,Nora Al-Zahrani,Female,1987-04-16,38,Saudi,Jizan,Single,0,High School,Private,Private,Accountant,5951.0,18,Monthly,2008-05-01,Arabic,Active
CUS000141,1224887333,Ibtisam Al-Rashidi,Female,1981-12-11,43,Saudi,Riyadh,Married,5,Bachelor,Private,Private,HR Specialist,16040.0,7,Monthly,2007-07-27,Arabic,Active
CUS000142,1936962012,Hatim Al-Zahrani,Male,1970-11-14,54,Saudi,Dammam,Married,1,High School,Self-Employed,Self-Employed,Real Estate Developer,42501.0,11,Monthly,2019-01-12,Arabic,Active
CUS000143,1100346058,Khalid Al-Subaie,Male,1997-02-25,28,Saudi,Medina,Married,4,High School,Government,Government,Police Officer,,4,Bi-Monthly,2015-07-19,Arabic,Active
